rank,slug,topic,evidence_state,grade,score,n_sources,strength_band,full_anchor,partial_anchor,weak_anchor,disputed,t3_clinical,practice,weak_only,tier_profile,n_true_jurisdictions,n_jurisdictions_raw,jurisdictions,n_languages,languages,pct_english,n_nonenglish,pct_anglo_core,anglo_core_instances,supra_instances,non_anglo_instances,null_jurisdiction_instances,comp_volume,comp_tier,comp_jurisdiction,comp_language,comp_anglo_balance,search_langs_run,search_langs_hit
67,luminance-contrast-lrv-evidence-base,wayfinding-and-signage,RETRACTED-PRE-REHAB,D,48.7,7,full,4,2,1,0,4,0,0,T3:4;T5:2;T6:1,4,4,AU:3;US:2;CA:1;UK:1,1,en:7,100.0,0,100.0,7,0,0,0,12,23.7,13,0,0.0,19,9
68,cross-population-conflict-resolutions,frameworks-and-methodology,RETRACTED-PRE-REHAB,D,48.0,6,full,2,4,0,0,2,0,0,T3:2;T4:3;T5:1,2,2,INT:4;UK:2,1,en:6,100.0,0,33.3,2,4,0,0,12,22.0,9,0,5.0,19,0
69,accessible-laundry-room-design,room-types,RETRACTED-PRE-REHAB,D,47.0,6,partial,0,6,0,0,0,0,0,T4:3;T5:3,4,4,US:3;AU:1;SE:1;DE:1,3,en:4;sv:1;de:1,66.7,2,66.7,4,0,2,0,12,8.0,13,9,5.0,19,14
70,cross-population-case-studies,frameworks-and-methodology,,D,47.0,3,full,3,0,0,0,2,0,0,T1:1;T3:2,2,2,UK:2;US:1,1,en:3,100.0,0,100.0,3,0,0,0,8,30,9,0,0.0,19,0
71,government-grant-programmes-home-adaptation,economics,RETRACTED-PRE-REHAB,D,46.3,7,partial,0,7,0,0,0,0,0,T5:7,6,6,US:2;CA:1;UK:1;AU:1;DE:1;CH:1,2,en:5;de:2,71.4,2,71.4,5,0,2,0,12,8.0,17,5,4.3,19,3
72,accessible-design-failures-poor-performance,frameworks-and-methodology,PARTIAL,D,45.8,4,full,3,0,1,0,3,0,0,T3:4,2,2,INT:2;UK:2,1,en:4,100.0,0,50.0,2,2,0,0,8,25.0,9,0,3.8,19,3
73,european-accessibility-act-scope-clarification,frameworks-and-methodology,RETRACTED-PRE-REHAB,D,45.4,6,partial,0,2,4,0,0,0,0,T5:2;T6:4,4,4,EU:3;NZ:1;NL:1;ES:1,3,en:4;nl:1;es:1,66.7,2,16.7,1,3,2,0,12,2.7,13,9,8.7,19,4
74,thermoregulation-built-environment,health-and-symptom-management,RETRACTED-PRE-REHAB,D,44.1,5,full,2,1,2,0,2,0,0,T3:4;T4:1,1,1,INT:5,1,en:5,100.0,0,0.0,0,5,0,0,12,19.6,5,0,7.5,19,2
75,case-study-economics-financial-data,economics,,D,44.0,4,full,3,1,0,0,1,0,0,T1:1;T2:1;T3:1;T5:1,2,2,UK:2;US:2,1,en:4,100.0,0,100.0,4,0,0,0,8,27.0,9,0,0.0,19,1
76,therapeutic-lighting-design,sensory-environment,RETRACTED-PRE-REHAB,D,43.4,4,partial,0,4,0,0,0,0,0,T4:1;T5:3,3,3,INT:2;SE:1;DK:1,2,en:3;sv:1,75.0,1,0.0,0,2,2,0,8,8.0,13,5,9.4,19,1
77,residential-dar-provisions-priority-register,frameworks-and-methodology,RETRACTED-PRE-REHAB,E,33.0,6,partial,0,5,1,0,0,0,0,T4:1;T5:4;T6:1,3,3,UK:3;CA:2;INT:1,1,en:6,100.0,0,83.3,5,1,0,0,12,6.7,13,0,1.3,19,3
78,crpd-implementation-built-environment,frameworks-and-methodology,RETRACTED-PRE-REHAB,E,32.5,5,partial,0,5,0,0,0,0,0,T4:5,1,1,INT:5,1,en:5,100.0,0,0.0,0,5,0,0,12,8.0,5,0,7.5,19,0
79,co1-housing-research-global-south,frameworks-and-methodology,RETRACTED-PRE-REHAB,E,28.5,3,partial,0,3,0,0,0,0,0,T4:3,1,1,INT:3,1,en:3,100.0,0,0.0,0,3,0,0,8,8.0,5,0,7.5,19,0
